step,updates,sps,eps,beta,score_avg100,buffer,time,loss,q_mean,td_abs,grad_norm
240000,4375,561.7335862077624,0.0,0.4632,291.9,240000,262.76305317878723,0.014491758495569228,1.447451171875,0.22661520443856717,0.1830931466445327
250016,4688,562.058863476319,0.0,0.46375088000000003,326.65,250016,280.5832507610321,0.016639132611453535,1.5938232421875,0.2469008416682482,0.25429363038390873
260000,5000,427.4116271831139,0.0,0.4643,376.2,260000,303.94246554374695,0.01545705170603469,1.6607421875,0.23849580697715284,0.22624987311661243
270016,5313,554.4113389742585,0.0,0.46485088,397.8,270016,322.008474111557,0.01706956489942968,1.7375732421875,0.24862322017550467,0.23679871570318936
280000,5625,550.7226818329143,0.0,0.46540000000000004,438.8,280000,340.1373805999756,0.017392800031229852,1.734443359375,0.25084703616797926,0.24413097746670245
290016,5938,554.601562949061,0.0,0.46595088,465.75,290016,358.1971926689148,0.017433475898578764,1.8636767578125,0.254804770424962,0.25201257778331637
300000,6250,560.1546221921678,0.0,0.4665,484.35,300000,376.02084279060364,0.017075788998045027,1.9079248046875,0.25480668045580385,0.24004301976412534
310016,6563,559.0494205921085,0.0,0.46705088,515.75,310016,393.93696904182434,0.01908648111624643,2.0001318359375,0.26587196841835975,0.274693324547261
320000,6875,562.9033441912005,0.0,0.4676,554.85,320000,411.6735842227936,0.018559834607876836,2.0885009765625,0.26980448499321935,0.26082101905718447
330016,7188,575.5148711501979,0.0,0.46815088,599.6,330016,429.0771310329437,0.018891632074955853,2.0894580078125,0.26595753103494646,0.28188730746507645
340000,7500,572.6083850210016,0.0,0.4687,622.9,340000,446.5131313800812,0.01981376764830202,2.260361328125,0.27527519792318345,0.3031146099418402
350016,7813,563.4405052657962,0.0,0.46925088000000004,636.6,350016,464.28963112831116,0.020205130418762565,2.2709375,0.2774061254411936,0.2657194333150983
360000,8125,526.4132736413858,0.0,0.4698,644.3,360000,483.2557182312012,0.019064828963018955,2.303896484375,0.270312320291996,inf
370016,8438,519.6518928998399,0.0,0.47035088,660.9,370016,502.53015971183777,0.02106689690379426,2.5207421875,0.28259410969913007,0.31170975245535376
380000,8750,524.046578501821,0.0,0.4709,683.3,380000,521.5819013118744,0.02293255103752017,2.708505859375,0.2943659135699272,0.3570901234075427
390016,9063,544.2032950803341,0.0,0.47145088,703.25,390016,539.9867880344391,0.02430923247244209,2.81765625,0.2994776380062103,0.3370838860049844
400000,9375,557.6152279222036,0.0,0.47200000000000003,703.15,400000,557.8916075229645,0.02314896021038294,2.8908203125,0.2950423576682806,0.3462033120170236
410016,9688,551.0608810979718,0.0,0.47255088,698.65,410016,576.0674576759338,0.023671888122335075,3.004375,0.29261427976191046,0.39275503262877465
420000,10000,514.541272062732,0.0,0.4731,677.1,420000,595.4711489677429,0.021615618935320526,2.94185546875,0.28298676483333113,0.3313312946073711
430016,10313,269.7534524081597,0.0,0.47365088,682.1,430016,632.6013503074646,0.022238791841082274,3.0096875,0.2877416141331196,inf
440000,10625,547.7834106668581,0.0,0.4742,685.7,440000,650.8275320529938,0.024553440106101335,3.09642578125,0.30105763450264933,inf
450016,10938,571.8858491030422,0.0,0.47475088,702.55,450016,668.3415167331696,0.025509698730893433,3.133271484375,0.3096745127439499,0.3845703660696745
460000,11250,560.6297691094792,0.0,0.4753,694.65,460000,686.1510632038116,0.025247714924626054,3.18859375,0.30164881303906443,0.3800792706757784
470016,11563,573.4781357628299,0.0,0.47585088000000003,694.25,470016,703.6154172420502,0.02359494851902127,3.20615234375,0.29796060159802434,0.35723235048353674
